id,name,country_code,country,hand,age,url,date_accessed
28761,DVORKIN Mary,ISR,ISRAEL,Left,24,https://fie.org/athletes/28761,13/05/2021 21:42
43803,SHI Yue,CHN,CHINA,Right,22,https://fie.org/athletes/43803,13/05/2021 21:35
46080,TANG Nga Hei,MAC,MACAO- CHINA,Right,20,https://fie.org/athletes/46080,13/05/2021 21:46
46481,WONAME Kelsey Victoria Afriyie,GHA,GHANA,Right,17,https://fie.org/athletes/46481,13/05/2021 21:48
47075,BRECHERET Carolina,BRA,BRAZIL,Right,16,https://fie.org/athletes/47075,13/05/2021 21:50
37506,DA SILVA Kathryn,RSA,SOUTH AFRICA,Left,19,https://fie.org/athletes/37506,13/05/2021 21:44
45971,KOUTOGLO Abla Francoise,TOG,TOGO,Right,22,https://fie.org/athletes/45971,13/05/2021 21:45
20482,YANAOKA Haruka,JPN,JAPAN,Right,26,https://fie.org/athletes/20482,13/05/2021 21:41
22533,GOLDIE Alanna,CAN,CANADA,Right,27,https://fie.org/athletes/22533,13/05/2021 21:50
39433,NEMCOVA Stepanka,CZE,CZECH REPUBLIC,Right,20,https://fie.org/athletes/39433,13/05/2021 21:52
28701,CIPRESSA Erica,ITA,ITALY,Right,24,https://fie.org/athletes/28701,13/05/2021 21:41
20514,THIBUS Ysaora,FRA,FRANCE,Right,29,https://fie.org/athletes/20514,13/05/2021 21:41
43554,HANY Noha,EGY,EGYPT,Right,20,https://fie.org/athletes/43554,13/05/2021 21:33
28713,MORI Chihiro,JPN,JAPAN,Right,23,https://fie.org/athletes/28713,13/05/2021 21:41
29233,HONG Hyo Jin,KOR,KOREA,Right,27,https://fie.org/athletes/29233,13/05/2021 21:44
4164,MOHAMED Aida,HUN,HUNGARY,Left,45,https://fie.org/athletes/4164,13/05/2021 21:42
33352,WANGLEMBAM Thoibi Devi,IND,INDIA,Right,23,https://fie.org/athletes/33352,13/05/2021 21:21
17481,SAUER Anne,GER,GERMANY,Right,30,https://fie.org/athletes/17481,13/05/2021 21:23
34890,CHEN Qingyuan,CHN,CHINA,Right,24,https://fie.org/athletes/34890,13/05/2021 21:31
33865,TANGHERLINI Elena,ITA,ITALY,Left,23,https://fie.org/athletes/33865,13/05/2021 21:23
20041,HAMMAD Ghareeba,QAT,QATAR,Right,32,https://fie.org/athletes/20041,13/05/2021 21:39
