competition_ID,season,name,category,country,start_date,end_date,weapon,gender,timezone,url,unique_ID,missing_results_flag
121,2021,Grand Prix,Senior,QATAR,26/03/2021,28/03/2021,Foil,Womens,Asia/Qatar,https://fie.org/competitions/2021/121,2021-121,
41,2017,Tournoi international,Junior,GERMANY,28/10/2016,28/10/2016,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2017/41,2017-41,
800,2015,Championnats Panaméricains,Senior,CHILE,17/04/2015,26/04/2015,Foil,Womens,America/Santiago,https://fie.org/competitions/2015/800,2015-800,
243,2019,Championnats du Monde,Senior,HUNGARY,16/07/2019,19/07/2019,Foil,Womens,Europe/Budapest,https://fie.org/competitions/2019/243,2019-243,
237,2016,Championnats du monde juniors-cadets,Cadet,FRANCE,01/04/2016,01/04/2016,Foil,Womens,Europe/Paris,https://fie.org/competitions/2016/237,2016-237,
225,2021,Championnats du monde juniors-cadets,Junior,EGYPT,06/04/2021,06/04/2021,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2021/225,2021-225,
586,2018,Championnats d'Afrique,Senior,TUNISIA,07/06/2018,07/06/2018,Foil,Womens,Africa/Tunis,https://fie.org/competitions/2018/586,2018-586,
1061,2021,Championnats de qualification - Afrique,Senior,EGYPT,23/04/2021,23/04/2021,Foil,Womens,Africa/Cairo,https://fie.org/competitions/2021/1061,2021-1061,
1281,2015,Tournoi satellite fleuret féminin,Senior,DENMARK,10/05/2015,10/05/2015,Foil,Womens,Europe/Copenhagen,https://fie.org/competitions/2015/1281,2015-1281,
1230,2018,Tournoi satellite,Senior,SPAIN,24/02/2018,25/02/2018,Foil,Womens,Europe/Madrid,https://fie.org/competitions/2018/1230,2018-1230,
1299,2016,Championnats d'Afrique,Cadet,MALI,02/03/2016,02/03/2016,Foil,Womens,Africa/Bamako,https://fie.org/competitions/2016/1299,2016-1299,
351,2017,Championnats d’Europe juniors,Junior,BULGARIA,06/03/2017,06/03/2017,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2017/351,2017-351,
122,2017,Reinhold-Würth-Cup,Senior,GERMANY,28/04/2017,29/04/2017,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2017/122,2017-122,
122,2019,Coupe du Monde,Senior,GERMANY,03/05/2019,04/05/2019,Foil,Womens,Europe/Berlin,https://fie.org/competitions/2019/122,2019-122,
41,2020,Coupe du Monde,Junior,ROMANIA,07/12/2019,07/12/2019,Foil,Womens,Europe/Bucharest,https://fie.org/competitions/2020/41,2020-41,
800,2019,Championnats Panaméricains,Senior,CANADA,27/06/2019,27/06/2019,Foil,Womens,America/Toronto,https://fie.org/competitions/2019/800,2019-800,
41,2019,Coupe du Monde,Junior,BULGARIA,08/12/2018,08/12/2018,Foil,Womens,Europe/Sofia,https://fie.org/competitions/2019/41,2019-41,
397,2017,Tournoi satellite,Senior,NETHERLANDS,25/09/2016,25/09/2016,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/2017/397,2017-397,
397,2020,Tournoi satellite,Senior,NETHERLANDS,08/09/2019,08/09/2019,Foil,Womens,Europe/Amsterdam,https://fie.org/competitions/2020/397,2020-397,
812,2016,Championnats Panaméricains Juniors,Junior,MEXICO,27/02/2016,04/03/2016,Foil,Womens,America/Cancun,https://fie.org/competitions/2016/812,2016-812,
1061,2016,Championnats de qualification - Afrique,Senior,ALGERIA,14/04/2016,14/04/2016,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/1061,2016-1061,
586,2016,Championnats d'Afrique,Senior,ALGERIA,15/04/2016,19/04/2016,Foil,Womens,Africa/Algiers,https://fie.org/competitions/2016/586,2016-586,
857,2016,Championnats d'Afrique,Junior,MALI,04/03/2016,04/03/2016,Foil,Womens,Africa/Bamako,https://fie.org/competitions/2016/857,2016-857,
1105,2018,Championnats du monde vétérans 50-59,Veterans,ITALY,11/10/2018,11/10/2018,Foil,Womens,Europe/Rome,https://fie.org/competitions/2018/1105,2018-1105,
